hex,flight,registration,aircraft,departure_time,departure_lat,departure_lon,departure_iata,departure_name,arrival_time,arrival_lat,arrival_lon,arrival_name,arrival_iata,airline,likely_departure_destination,likely_arrival_destination
a2d25e,GXA3171 ,N281GX,A320,00:02.9,22.63328,-77.987312,CCC,Jardines del Rey Airport,30:02.4,28.136719,-82.411774,Topp Of Tampa,KYO,Global X Airlines,Jardines del Rey Airport,Topp Of Tampa
acb2ba,TYSON47 ,N917XA,B738,00:02.9,40.790806,-111.96225,SLC,Salt Lake City International Airport,30:02.4,36.087074,-115.165321,McCarran International Airport,LAS,Eastern Air Express,Salt Lake City International Airport,McCarran International Airport
a2bd72,,N276GX,A320,30:03.8,33.303738,-111.662529,AZA,PhoenixMesa Gateway Airport,30:02.6,36.082981,-115.134888,McCarran International Airport,LAS,Global X Airlines,Florence Service Processing Center,McCarran International Airport
a2bd72,,N276GX,A320,30:03.8,33.303738,-111.662529,AZA,Phoenix-Mesa Gateway Airport,30:02.6,36.082981,-115.134888,McCarran International Airport,LAS,Global X Airlines,Florence Service Processing Center,McCarran International Airport
a2bd72,,N276GX,A320,30:03.8,33.303738,-111.662529,AZA,Phoenix-Mesa Gateway Airport,30:02.6,36.082981,-115.134888,McCarran International Airport,LAS,Global X Airlines,Florence Service Processing Center,McCarran International Airport
a2bd72,,N276GX,A320,30:03.8,33.303738,-111.662529,AZA,PhoenixMesa Gateway Airport,30:02.6,36.082981,-115.134888,McCarran International Airport,LAS,Global X Airlines,Florence Service Processing Center,McCarran International Airport
a6b0f5,GXA602  ,N530FL,A321,30:03.3,33.24691,-111.495926,AZA,PhoenixMesa Gateway Airport,30:02.4,33.935547,-118.400658,Los Angeles International Airport,LAX,Global X Airlines,Florence Service Processing Center,Los Angeles International Airport
a6b0f5,GXA602  ,N530FL,A321,30:03.3,33.24691,-111.495926,AZA,Phoenix-Mesa Gateway Airport,30:02.4,33.935547,-118.400658,Los Angeles International Airport,LAX,Global X Airlines,Florence Service Processing Center,Los Angeles International Airport
a6b0f5,GXA602  ,N530FL,A321,30:03.3,33.24691,-111.495926,AZA,Phoenix-Mesa Gateway Airport,30:02.4,33.935547,-118.400658,Los Angeles International Airport,LAX,Global X Airlines,Florence Service Processing Center,Los Angeles International Airport
a6b0f5,GXA602  ,N530FL,A321,30:03.3,33.24691,-111.495926,AZA,PhoenixMesa Gateway Airport,30:02.4,33.935547,-118.400658,Los Angeles International Airport,LAX,Global X Airlines,Florence Service Processing Center,Los Angeles International Airport
a83f98,TYSON49 ,N630VA,A320,00:01.6,41.275452,-80.69574,YNG,Youngstown,00:02.0,40.489059,-74.39502,Linden,LDJ,Global X Airlines,Northeast Ohio Correctional Center,Linden
a5b769,OAE170  ,N468AX,B763,30:01.9,52.694958,-8.922978,SNN,Shannon Airport,30:03.2,36.962711,-76.534103,Langley AFB,LFI,Omni Air International,Shannon Airport,Langley AFB
